0:1	Account: mrhung1	 Name: sadadsadsa	 Level: 80	 IP Address: 42.114.31.43 : 50793
2:35	Account: namhai0011	 Name: namhai11	 Level: 83	 IP Address: 14.230.182.26 : 2188
2:35	Account: namhai06	 Name: namhai06	 Level: 85	 IP Address: 14.230.182.26 : 65453
2:35	Account: namhai0010	 Name: namhai10	 Level: 83	 IP Address: 14.230.182.26 : 2191
2:35	Account: namhai008	 Name: namhai08	 Level: 84	 IP Address: 14.230.182.26 : 2192
2:35	Account: namhai04	 Name: namhai04	 Level: 86	 IP Address: 14.230.182.26 : 65457
2:35	Account: namhai01	 Name: MaPhongBa	 Level: 91	 IP Address: 14.230.182.26 : 65459
2:35	Account: namhai009	 Name: namhai09	 Level: 83	 IP Address: 14.230.182.26 : 2194
2:38	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51573
2:42	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51580
3:14	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51591
3:16	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51596
3:25	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51604
3:48	Account: gamethu	 Name: TaoPh¸GameHaha	 Level: 80	 IP Address: 115.79.255.58 : 64978
3:51	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51616
3:52	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51619
3:53	Account: gamethu	 Name: TaoPh¸GameHaha	 Level: 80	 IP Address: 115.79.255.58 : 65013
3:53	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51621
3:55	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 117	 IP Address: 115.79.255.58 : 65024
4:1	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51628
4:12	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51636
4:14	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51639
4:20	Account: gamethu	 Name: TaoPh¸GameHaha	 Level: 80	 IP Address: 115.79.255.58 : 65386
4:22	Account: gamethu	 Name: TaoPh¸GameHaha	 Level: 80	 IP Address: 115.79.255.58 : 65416
4:22	Account: gamethu	 Name: TaoPh¸GameHaha	 Level: 80	 IP Address: 115.79.255.58 : 65421
4:22	Account: gamethu	 Name: TaoPh¸GameHaha	 Level: 80	 IP Address: 115.79.255.58 : 65423
4:23	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51646
4:25	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51649
4:26	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51654
4:29	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51658
4:36	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51664
4:39	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51668
4:42	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51671
4:53	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51678
4:59	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51685
5:4	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51688
5:7	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51694
5:13	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51699
5:14	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51702
5:16	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51706
