Time	OnlinePlayerCount	volamtrunghieu1(192.168.248.103)	volamtrunghieu(103.92.25.248)
2018-9-2_21:36	402	203	199
2018-9-2_21:51	400	202	198
2018-9-2_22:06	397	199	198
2018-9-2_22:21	393	194	199
2018-9-2_22:36	385	186	199
2018-9-2_22:51	390	187	203
2018-9-2_23:06	393	186	207
2018-9-2_23:21	392	183	209
2018-9-2_23:36	387	176	211
2018-9-2_23:51	399	185	214
2018-9-3_0:06	406	191	215
2018-9-3_0:21	412	194	218
2018-9-3_0:36	410	192	218
2018-9-3_0:51	408	194	214
2018-9-3_1:06	399	187	212
2018-9-3_1:21	395	186	209
2018-9-3_1:36	390	183	207
2018-9-3_1:51	394	186	208
2018-9-3_2:06	391	179	212
2018-9-3_2:21	389	176	213
2018-9-3_2:36	392	180	212
2018-9-3_2:51	391	179	212
2018-9-3_3:06	394	185	209
2018-9-3_3:21	395	185	210
2018-9-3_3:36	396	186	210
2018-9-3_3:51	397	188	209
2018-9-3_4:06	397	188	209
2018-9-3_4:21	400	187	213
2018-9-3_4:36	386	174	212
2018-9-3_4:51	383	174	209
2018-9-3_5:06	377	168	209
2018-9-3_5:21	381	174	207
2018-9-3_5:36	382	173	209
2018-9-3_5:51	374	167	207
2018-9-3_6:06	373	167	206
2018-9-3_6:21	378	170	208
2018-9-3_6:36	375	164	211
2018-9-3_6:51	373	161	212
2018-9-3_7:06	385	170	215
2018-9-3_7:21	389	174	215
2018-9-3_7:36	395	178	217
2018-9-3_7:51	403	187	216
2018-9-3_8:06	399	184	215
2018-9-3_8:21	406	185	221
2018-9-3_8:36	401	186	215
2018-9-3_8:51	400	182	218
2018-9-3_9:06	403	185	218
2018-9-3_9:21	407	189	218
2018-9-3_9:36	411	189	222
2018-9-3_9:51	415	190	225
2018-9-3_10:06	412	188	224
2018-9-3_10:21	418	190	228
2018-9-3_10:36	422	191	231
2018-9-3_10:51	437	206	231
2018-9-3_11:06	455	219	236
2018-9-3_11:21	448	205	243
2018-9-3_11:36	468	224	244
2018-9-3_11:51	479	233	246
2018-9-3_12:06	473	238	235
2018-9-3_12:21	471	239	232
2018-9-3_12:36	462	231	231
2018-9-3_12:51	459	231	228
2018-9-3_13:06	447	233	214
2018-9-3_13:21	436	221	215
2018-9-3_13:36	430	220	210
2018-9-3_13:51	444	228	216
2018-9-3_14:06	312	95	217
