Time	OnlinePlayerCount	volamtrunghieu(103.92.25.248)
2018-9-6_9:17	71	71
2018-9-6_9:32	72	72
2018-9-6_9:47	76	76
2018-9-6_10:02	80	80
2018-9-6_10:17	82	82
2018-9-6_10:32	82	82
2018-9-6_10:47	88	88
2018-9-6_11:02	85	85
2018-9-6_11:17	89	89
2018-9-6_11:32	90	90
2018-9-6_11:47	92	92
2018-9-6_12:02	100	100
2018-9-6_12:17	100	100
2018-9-6_12:32	98	98
2018-9-6_12:47	97	97
2018-9-6_13:02	93	93
2018-9-6_13:17	92	92
2018-9-6_13:32	93	93
2018-9-6_13:47	88	88
2018-9-6_14:02	94	94
2018-9-6_14:17	91	91
2018-9-6_14:32	85	85
2018-9-6_14:47	85	85
2018-9-6_15:02	85	85
2018-9-6_15:17	91	91
2018-9-6_15:32	91	91
2018-9-6_15:47	90	90
2018-9-6_16:02	92	92
2018-9-6_16:17	92	92
2018-9-6_16:32	92	92
2018-9-6_16:47	94	94
2018-9-6_17:02	94	94
2018-9-6_17:17	80	80
2018-9-6_17:32	81	81
2018-9-6_17:47	81	81
2018-9-6_18:02	86	86
2018-9-6_18:17	73	73
2018-9-6_18:32	76	76
2018-9-6_18:47	76	76
2018-9-6_19:02	77	77
2018-9-6_19:17	78	78
2018-9-6_19:32	71	71
2018-9-6_19:47	75	75
2018-9-6_20:02	79	79
2018-9-6_20:17	77	77
2018-9-6_20:32	70	70
2018-9-6_20:47	72	72
2018-9-6_21:02	72	72
2018-9-6_21:17	69	69
2018-9-6_21:32	67	67
2018-9-6_21:47	67	67
2018-9-6_22:02	67	67
2018-9-6_22:17	67	67
2018-9-6_22:32	67	67
2018-9-6_22:47	68	68
2018-9-6_23:02	65	65
2018-9-6_23:17	63	63
2018-9-6_23:32	63	63
2018-9-6_23:47	62	62
2018-9-7_0:02	56	56
2018-9-7_0:17	56	56
2018-9-7_0:32	57	57
2018-9-7_0:47	55	55
2018-9-7_1:02	55	55
2018-9-7_1:17	56	56
2018-9-7_1:32	56	56
2018-9-7_1:47	56	56
2018-9-7_2:02	56	56
2018-9-7_2:17	56	56
2018-9-7_2:32	22	22
2018-9-7_2:47	38	38
2018-9-7_3:02	38	38
2018-9-7_3:17	38	38
2018-9-7_3:32	38	38
