Time	OnlinePlayerCount	volamtrunghieu1(192.168.248.103)	volamtrunghieu(103.92.25.248)
2018-8-28_15:34	62	2	60
2018-8-28_15:49	67	2	65
2018-8-28_16:04	67	2	65
2018-8-28_16:19	71	0	71
2018-8-28_16:34	73	2	71
2018-8-28_16:49	78	2	76
2018-8-28_17:04	78	2	76
2018-8-28_17:19	77	2	75
2018-8-28_17:34	73	2	71
2018-8-28_17:49	72	3	69
2018-8-28_18:04	77	3	74
2018-8-28_18:19	74	1	73
2018-8-28_18:34	74	2	72
2018-8-28_18:49	77	2	75
2018-8-28_19:04	83	2	81
2018-8-28_19:19	95	2	93
2018-8-28_19:34	104	2	102
2018-8-28_19:49	113	2	111
2018-8-28_20:04	117	2	115
2018-8-28_20:19	104	2	102
2018-8-28_20:34	102	2	100
2018-8-28_20:49	103	2	101
2018-8-28_21:04	119	2	117
2018-8-28_21:19	119	2	117
2018-8-28_21:34	125	2	123
2018-8-28_21:49	130	2	128
2018-8-28_22:04	127	1	126
2018-8-28_22:19	114	1	113
2018-8-28_22:34	131	1	130
2018-8-28_22:49	131	2	129
2018-8-28_23:04	138	5	133
2018-8-28_23:19	132	5	127
2018-8-28_23:34	130	2	128
2018-8-28_23:49	117	3	114
2018-8-29_0:04	115	3	112
2018-8-29_0:19	110	3	107
2018-8-29_0:34	105	3	102
2018-8-29_0:49	100	3	97
2018-8-29_1:04	92	3	89
2018-8-29_1:19	91	4	87
2018-8-29_1:34	86	2	84
2018-8-29_1:49	86	2	84
2018-8-29_2:04	84	2	82
2018-8-29_2:19	85	2	83
2018-8-29_2:34	83	2	81
2018-8-29_2:49	83	2	81
2018-8-29_3:04	83	2	81
2018-8-29_3:19	83	2	81
2018-8-29_3:34	80	2	78
2018-8-29_3:49	80	2	78
2018-8-29_4:04	83	2	81
2018-8-29_4:19	80	2	78
2018-8-29_4:34	81	2	79
2018-8-29_4:49	80	2	78
2018-8-29_5:04	79	2	77
2018-8-29_5:19	79	2	77
2018-8-29_5:34	80	2	78
2018-8-29_5:49	81	2	79
2018-8-29_6:04	81	2	79
2018-8-29_6:19	82	2	80
2018-8-29_6:34	80	2	78
2018-8-29_6:49	80	2	78
2018-8-29_7:04	80	2	78
2018-8-29_7:19	87	2	85
2018-8-29_7:34	88	2	86
2018-8-29_7:49	89	2	87
2018-8-29_8:04	90	2	88
2018-8-29_8:19	90	2	88
2018-8-29_8:34	91	2	89
2018-8-29_8:49	93	2	91
2018-8-29_9:04	90	2	88
2018-8-29_9:19	104	4	100
2018-8-29_9:34	114	4	110
2018-8-29_9:49	123	7	116
2018-8-29_10:04	124	5	119
2018-8-29_10:19	134	4	130
2018-8-29_10:34	141	5	136
2018-8-29_10:49	153	6	147
2018-8-29_11:04	159	6	153
2018-8-29_11:19	162	6	156
2018-8-29_11:34	163	5	158
2018-8-29_11:49	172	4	168
2018-8-29_12:04	176	4	172
2018-8-29_12:19	175	5	170
2018-8-29_12:34	173	7	166
2018-8-29_12:49	182	5	177
2018-8-29_13:04	180	5	175
2018-8-29_13:19	183	5	178
2018-8-29_13:34	183	4	179
2018-8-29_13:49	183	4	179
2018-8-29_14:04	184	4	180
2018-8-29_14:19	184	2	182
2018-8-29_14:34	183	2	181
2018-8-29_14:49	182	0	182
