Time	OnlinePlayerCount	volamtrunghieu1(192.168.248.103)	volamtrunghieu(103.92.25.248)
2018-8-29_15:34	62	1	61
2018-8-29_15:49	59	1	58
2018-8-29_16:04	67	1	66
2018-8-29_16:19	67	1	66
2018-8-29_16:34	67	2	65
2018-8-29_16:49	67	2	65
2018-8-29_17:04	72	2	70
2018-8-29_17:19	80	2	78
2018-8-29_17:34	96	2	94
2018-8-29_17:49	91	1	90
2018-8-29_18:04	94	1	93
2018-8-29_18:19	87	0	87
2018-8-29_18:34	92	1	91
2018-8-29_18:49	98	1	97
2018-8-29_19:04	104	1	103
2018-8-29_19:19	104	1	103
2018-8-29_19:34	107	1	106
2018-8-29_19:49	123	2	121
2018-8-29_20:04	126	3	123
2018-8-29_20:19	126	4	122
2018-8-29_20:34	122	4	118
2018-8-29_20:49	128	2	126
2018-8-29_21:04	142	3	139
2018-8-29_21:19	139	2	137
2018-8-29_21:34	134	2	132
2018-8-29_21:49	133	2	131
2018-8-29_22:04	124	2	122
2018-8-29_22:19	121	2	119
2018-8-29_22:34	118	2	116
2018-8-29_22:49	122	2	120
2018-8-29_23:04	119	3	116
2018-8-29_23:19	119	3	116
2018-8-29_23:34	119	3	116
2018-8-29_23:49	128	3	125
2018-8-30_0:04	127	3	124
2018-8-30_0:19	133	3	130
2018-8-30_0:34	132	3	129
2018-8-30_0:49	133	4	129
2018-8-30_1:04	135	4	131
2018-8-30_1:19	132	3	129
2018-8-30_1:34	130	2	128
2018-8-30_1:49	132	2	130
2018-8-30_2:04	127	2	125
2018-8-30_2:19	127	2	125
2018-8-30_2:34	127	2	125
2018-8-30_2:49	124	2	122
2018-8-30_3:04	124	2	122
2018-8-30_3:19	124	2	122
2018-8-30_3:34	124	2	122
2018-8-30_3:49	124	2	122
2018-8-30_4:04	124	2	122
2018-8-30_4:19	124	2	122
2018-8-30_4:34	124	2	122
2018-8-30_4:49	124	2	122
2018-8-30_5:04	130	2	128
2018-8-30_5:19	129	2	127
2018-8-30_5:34	129	2	127
2018-8-30_5:49	128	2	126
2018-8-30_6:04	129	2	127
2018-8-30_6:19	123	2	121
2018-8-30_6:34	123	2	121
2018-8-30_6:49	123	2	121
2018-8-30_7:04	123	2	121
2018-8-30_7:19	119	2	117
2018-8-30_7:34	119	3	116
2018-8-30_7:49	122	3	119
2018-8-30_8:04	123	3	120
2018-8-30_8:19	127	2	125
2018-8-30_8:34	128	2	126
2018-8-30_8:49	128	2	126
2018-8-30_9:04	130	2	128
2018-8-30_9:19	138	4	134
2018-8-30_9:34	144	9	135
2018-8-30_9:49	145	8	137
2018-8-30_10:04	139	2	137
2018-8-30_10:19	136	2	134
2018-8-30_10:34	134	2	132
2018-8-30_10:49	134	3	131
2018-8-30_11:04	136	2	134
2018-8-30_11:19	136	2	134
2018-8-30_11:34	139	2	137
2018-8-30_11:49	147	3	144
2018-8-30_12:04	147	3	144
2018-8-30_12:19	151	3	148
2018-8-30_12:34	154	2	152
2018-8-30_12:49	148	2	146
2018-8-30_13:04	149	3	146
2018-8-30_13:19	151	6	145
2018-8-30_13:34	154	6	148
2018-8-30_13:49	159	6	153
2018-8-30_14:04	162	6	156
2018-8-30_14:19	164	6	158
2018-8-30_14:34	163	8	155
2018-8-30_14:49	125	9	116
2018-8-30_15:04	123	4	119
2018-8-30_15:19	123	3	120
2018-8-30_15:34	119	4	115
2018-8-30_15:49	137	4	133
2018-8-30_16:04	141	4	137
2018-8-30_16:19	145	4	141
2018-8-30_16:34	146	4	142
2018-8-30_16:49	150	4	146
2018-8-30_17:04	151	4	147
2018-8-30_17:19	135	3	132
2018-8-30_17:34	134	4	130
2018-8-30_17:49	133	3	130
2018-8-30_18:04	131	4	127
2018-8-30_18:19	129	4	125
2018-8-30_18:34	129	4	125
2018-8-30_18:49	130	6	124
2018-8-30_19:04	128	3	125
2018-8-30_19:19	128	4	124
2018-8-30_19:34	131	9	122
2018-8-30_19:49	119	9	110
2018-8-30_20:04	120	4	116
2018-8-30_20:19	139	10	129
2018-8-30_20:34	158	10	148
2018-8-30_20:49	157	10	147
2018-8-30_21:04	144	11	133
2018-8-30_21:19	148	9	139
2018-8-30_21:34	147	4	143
2018-8-30_21:49	147	3	144
2018-8-30_22:04	148	2	146
2018-8-30_22:19	145	2	143
2018-8-30_22:34	147	2	145
2018-8-30_22:49	139	3	136
2018-8-30_23:04	137	3	134
2018-8-30_23:19	137	2	135
2018-8-30_23:34	131	3	128
2018-8-30_23:49	132	3	129
2018-8-31_0:04	136	3	133
2018-8-31_0:19	136	4	132
2018-8-31_0:34	136	4	132
2018-8-31_0:49	136	4	132
2018-8-31_1:04	135	3	132
2018-8-31_1:19	135	3	132
2018-8-31_1:34	140	3	137
2018-8-31_1:49	140	3	137
2018-8-31_2:04	140	3	137
2018-8-31_2:19	140	3	137
2018-8-31_2:34	140	3	137
2018-8-31_2:49	140	3	137
2018-8-31_3:04	140	3	137
2018-8-31_3:19	140	3	137
2018-8-31_3:34	140	3	137
2018-8-31_3:49	140	3	137
2018-8-31_4:04	140	3	137
2018-8-31_4:19	140	3	137
2018-8-31_4:34	140	3	137
2018-8-31_4:49	140	3	137
2018-8-31_5:04	141	4	137
2018-8-31_5:19	142	3	139
2018-8-31_5:34	142	3	139
2018-8-31_5:49	142	3	139
2018-8-31_6:04	145	3	142
2018-8-31_6:19	145	3	142
2018-8-31_6:34	142	3	139
2018-8-31_6:49	144	5	139
2018-8-31_7:04	142	4	138
2018-8-31_7:19	142	5	137
2018-8-31_7:34	145	7	138
2018-8-31_7:49	145	5	140
2018-8-31_8:04	144	5	139
2018-8-31_8:19	138	5	133
2018-8-31_8:34	138	6	132
2018-8-31_8:49	138	5	133
2018-8-31_9:04	141	3	138
2018-8-31_9:19	142	3	139
2018-8-31_9:34	139	4	135
2018-8-31_9:49	140	4	136
2018-8-31_10:04	142	5	137
2018-8-31_10:19	157	6	151
2018-8-31_10:34	165	9	156
2018-8-31_10:49	181	13	168
2018-8-31_11:04	180	13	167
2018-8-31_11:19	180	12	168
2018-8-31_11:34	180	12	168
2018-8-31_11:49	182	12	170
2018-8-31_12:04	183	13	170
2018-8-31_12:19	182	13	169
2018-8-31_12:34	184	13	171
2018-8-31_12:49	183	15	168
2018-8-31_13:04	181	14	167
2018-8-31_13:19	172	0	172
2018-8-31_13:34	176	5	171
2018-8-31_13:49	179	5	174
2018-8-31_14:04	167	1	166
2018-8-31_14:19	164	2	162
2018-8-31_14:34	175	2	173
2018-8-31_14:49	176	2	174
2018-8-31_15:04	172	2	170
