TongCount=33, MemberCount=53, UnionCount=0
TongName	MasterName	TongLevel	TongExp	SelfCamp	AllMemberCount	DirectorCount	ManagerCount	MemberCount	BuildLevel	MoneyFund	BuildFund	WarBuildFund	MaintainFund	StoredOffer	StoredBuildFund	UnionNum	UnionName	IsUnionLeader	UnionCamp
HáaÙLong	HáaÙLongÙTµÙNh©n	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhGiao	HoaiLang	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
DEPÙBLH	DCPÙTL	0	0	2	11	1	2	7	0	0	0	0	0	0	0	0		0	0
V«ÙDanh	§¹tÙNÖn	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
luongson	testgame	7	61440	2	1	0	0	0	0	1445000	0	0	0	0	0	0		0	0
MétÙThêi	HoaÙDiÙCungÙChñ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
§ÖNhÊt	ChäcChäc	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ewtrwtwe	fasfaffaew	4	23280	3	1	0	0	0	0	109141111	0	0	0	0	0	0		0	0
Warrior	B¹ch§Þnh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
T×nh	QuûÙLÖÙSÇu	2	8040	1	2	1	0	0	0	454210455	0	0	0	0	0	0		0	0
TEST	TESTGAMES	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
KING	NMxHide	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
KimÙ	CuÙChÜÙNg­äc	5	32280	3	1	0	0	0	0	999137239	2240	0	0	22400	0	0		0	0
Trau	SonLinnh	3	11880	1	1	0	0	0	0	204645185	1111	0	0	0	0	0		0	0
ChoiDi	rayleigh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhXD	VuVuVnn	5	32400	3	2	1	0	0	0	4778762735	0	67183	0	22330	0	0		0	0
Laladu	ZzCuxizZ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HHBang	SangTpXXX	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
TestHoi	TestChoi	5	35760	3	9	2	0	6	0	665100466	0	0	0	0	0	0		0	0
Chien	SangTp4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
V×Sao	JohnniSon	6	47040	1	1	0	0	0	0	553595555	0	0	0	0	0	0		0	0
admin	testgame2	6	46080	1	1	0	0	0	0	106196111	0	0	0	0	0	0		0	0
TèngÙ	Anyonie	5	33600	1	1	0	0	0	0	313013441	0	0	0	0	0	0		0	0
ThiªnH¹	T©nKhócSÇu	4	20040	1	1	0	0	0	0	99165000	0	0	0	0	0	0		0	0
SKIES	Shazam	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Slock	SlockÙLife	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
102	o0oVmTo0o	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
L¸o	L¸oÙTõÙNhá	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
VIP	TOPTONGKIM	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MaGiao	RuouQuenSau	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ThèngÙ	ÙCuÙChÜÙNg­îcÙ	0	120	3	1	0	0	0	0	995000	2240	0	0	22400	0	0		0	0
qwerqwr	testgame3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HæÙB¸o	§¶ÙCÇuÙBæng	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
