TongCount=44, MemberCount=87, UnionCount=0
TongName	MasterName	TongLevel	TongExp	SelfCamp	AllMemberCount	DirectorCount	ManagerCount	MemberCount	BuildLevel	MoneyFund	BuildFund	WarBuildFund	MaintainFund	StoredOffer	StoredBuildFund	UnionNum	UnionName	IsUnionLeader	UnionCamp
Vâ§ang	TR­¬ngTamPhong	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
V«§Þch	HáaLongCaCa	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HáaÙLong	HáaÙLongÙTµÙNh©n	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhGiao	HoaiLang	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
DEPÙBLH	DCPÙTL	0	0	2	11	1	2	7	0	0	0	0	0	0	0	0		0	0
V«ÙDanh	§¹tÙNÖn	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
luongson	testgame	8	72240	2	1	0	0	0	0	995000	0	0	0	0	0	0		0	0
MétÙThêi	2SaoÙTL	5	27840	1	6	5	0	0	0	1012746932	0	0	0	0	0	0		0	0
ThÊtÙTam	LýÙD©nÙD­¬ng	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
§ÖNhÊt	ChäcChäc	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ewtrwtwe	fasfaffaew	8	80640	3	1	0	0	0	0	106751111	0	0	0	0	0	0		0	0
Warrior	B¹ch§Þnh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
T×nh	QuûÙLÖÙSÇu	8	65400	1	3	2	0	0	0	451808155	0	0	0	0	0	0		0	0
TEST	TESTGAMES	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
KING	NMxHide	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0		0	0
KimÙ	CuÙChÜÙNg­äc	9	89640	3	1	0	0	0	0	996747239	2240	0	0	22400	0	0		0	0
Trau	SonLinnh	8	69240	1	1	0	0	0	0	202255185	1111	0	0	0	0	0		0	0
haclong	adidaphap	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
NghÞchÙ	PLÙTöuÙKiÕmÙTiªn	5	31200	3	7	1	0	5	0	1109975364	0	0	0	0	0	0		0	0
ChoiDi	rayleigh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhXD	VuVuVnn	9	89760	3	2	1	0	0	0	9638542846	0	67183	0	22330	0	0		0	0
Laladu	ZzCuxizZ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HHBang	SangTpXXX	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
AnhÙEm	PSÙDragon	1	1440	3	4	1	0	2	0	4617500799	0	0	0	0	0	0		0	0
TestHoi	Testhihi	9	93120	2	12	2	1	8	0	9068637781	0	64054	0	22340	0	0		0	0
KhñngBè	ÙÙÙÙVâÙ	5	25800	3	5	0	0	4	0	211114972	0	0	0	0	0	0		0	0
Chien	SangTp4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Ahihi	axxxxxxx	7	51000	1	1	0	0	0	0	1220097221	0	0	0	0	0	0		0	0
V×Sao	JohnniSon	10	104400	1	1	0	0	0	0	551205555	0	0	0	0	0	0		0	0
admin	testgame2	10	103440	1	1	0	0	0	0	103806111	0	0	0	0	0	0		0	0
TèngÙ	Anyonie	9	90960	1	1	0	0	0	0	310623441	0	0	0	0	0	0		0	0
ThiªnH¹	T©nKhócSÇu	8	77400	1	1	0	0	0	0	96775000	0	0	0	0	0	0		0	0
SKIES	Shazam	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Slock	SlockÙLife	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ThÝch	G¸iÙNh¶y	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
vip	heniken	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
102	o0oVmTo0o	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
L¸o	L¸oÙTõÙNhá	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
VIP	TOPTONGKIM	6	37200	2	1	0	0	0	0	66321548	0	0	0	0	0	0		0	0
MaGiao	RuouQuenSau	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
VÞnhÙXu©	FrancescoÙFlores	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ThèngÙ	ÙCuÙChÜÙNg­îcÙ	0	120	3	1	0	0	0	0	995000	2240	0	0	22400	0	0		0	0
qwerqwr	testgame3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HæÙB¸o	§¶ÙCÇuÙBæng	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
