TongCount=37, MemberCount=71, UnionCount=0
TongName	MasterName	TongLevel	TongExp	SelfCamp	AllMemberCount	DirectorCount	ManagerCount	MemberCount	BuildLevel	MoneyFund	BuildFund	WarBuildFund	MaintainFund	StoredOffer	StoredBuildFund	UnionNum	UnionName	IsUnionLeader	UnionCamp
HáaÙLong	HáaÙLongÙTµÙNh©n	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhGiao	HoaiLang	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
DEPÙBLH	DCPÙTL	0	0	2	11	1	2	7	0	0	0	0	0	0	0	0		0	0
V«ÙDanh	§¹tÙNÖn	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
luongson	testgame	8	72240	2	1	0	0	0	0	995000	0	0	0	0	0	0		0	0
MétÙThêi	2SaoÙTL	3	10560	1	6	5	0	0	0	1013495732	0	0	0	0	0	0		0	0
ThÊtÙTam	LýÙD©nÙD­¬ng	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
§ÖNhÊt	ChäcChäc	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ewtrwtwe	fasfaffaew	7	63360	3	1	0	0	0	0	107471111	0	0	0	0	0	0		0	0
Warrior	B¹ch§Þnh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
T×nh	QuûÙLÖÙSÇu	6	48120	1	3	2	0	0	0	452535355	0	0	0	0	0	0		0	0
TEST	TESTGAMES	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
KING	NMxHide	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
KimÙ	CuÙChÜÙNg­äc	8	72360	3	1	0	0	0	0	997467239	2240	0	0	22400	0	0		0	0
Trau	SonLinnh	7	51960	1	1	0	0	0	0	202975185	1111	0	0	0	0	0		0	0
NghÞchÙ	PLÙTöuÙKiÕmÙTiªn	3	13920	3	5	0	0	4	0	1113727814	0	0	0	0	0	0		0	0
ChoiDi	rayleigh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhXD	VuVuVnn	8	72480	3	2	1	0	0	0	9639262846	0	67183	0	22330	0	0		0	0
Laladu	ZzCuxizZ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HHBang	SangTpXXX	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
TestHoi	TestChoi	8	75840	3	9	2	1	5	0	5644311663	0	0	0	0	0	0		0	0
KhñngBè	ÙÙÙÙVâÙ	2	8520	3	5	0	0	4	0	110745461	0	0	0	0	0	0		0	0
Chien	SangTp4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Ahihi	axxxxxxx	5	33720	1	1	0	0	0	0	1220817221	0	0	0	0	0	0		0	0
V×Sao	JohnniSon	9	87120	1	1	0	0	0	0	551925555	0	0	0	0	0	0		0	0
admin	testgame2	9	86160	1	1	0	0	0	0	104526111	0	0	0	0	0	0		0	0
TèngÙ	Anyonie	8	73680	1	1	0	0	0	0	311343441	0	0	0	0	0	0		0	0
ThiªnH¹	T©nKhócSÇu	7	60120	1	1	0	0	0	0	97495000	0	0	0	0	0	0		0	0
SKIES	Shazam	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Slock	SlockÙLife	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
102	o0oVmTo0o	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
L¸o	L¸oÙTõÙNhá	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
VIP	TOPTONGKIM	4	19920	2	1	0	0	0	0	67041548	0	0	0	0	0	0		0	0
MaGiao	RuouQuenSau	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ThèngÙ	ÙCuÙChÜÙNg­îcÙ	0	120	3	1	0	0	0	0	995000	2240	0	0	22400	0	0		0	0
qwerqwr	testgame3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HæÙB¸o	§¶ÙCÇuÙBæng	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
