1:34	Account: nonhandovip	 Name: DoPhoHoangKim	 Level: 80	 IP Address: 1.52.253.89 : 51194
1:36	Account: keoxe01	 Name: Ng¸oÙLµÙChÐm	 Level: 85	 IP Address: 42.115.143.113 : 45831
1:37	Account: bihulk03	 Name: ChuaNguyenLieu	 Level: 80	 IP Address: 42.115.143.113 : 1688
1:39	Account: nonhancl	 Name: XÝchLuyÖnÙTiªnTö	 Level: 91	 IP Address: 1.52.253.89 : 51197
1:44	Account: bihulk03	 Name: ThÝchÙLµÙBem	 Level: 85	 IP Address: 42.115.143.113 : 36665
1:44	Account: bihulk02	 Name: ThÝchÙLµÙGiÕt	 Level: 88	 IP Address: 42.115.143.113 : 54222
1:46	Account: bihulk04	 Name: Ng¹oÙLµÙBem	 Level: 89	 IP Address: 42.115.143.113 : 62213
1:59	Account: keoxe01	 Name: Q¦TXJHGF	 Level: 80	 IP Address: 42.115.143.113 : 44312
2:0	Account: keoxe02	 Name: lklkrwe	 Level: 80	 IP Address: 42.115.143.113 : 60330
2:1	Account: keoxe01	 Name: Q¦TXJHGF	 Level: 80	 IP Address: 42.115.143.113 : 27378
2:2	Account: keoxe02	 Name: lklkrwe	 Level: 80	 IP Address: 42.115.143.113 : 39684
2:2	Account: bihulk001	 Name: C«nÙL«nÙ01	 Level: 80	 IP Address: 42.115.143.113 : 57290
2:3	Account: bihulk002	 Name: C«nÙL«nÙ02	 Level: 80	 IP Address: 42.115.143.113 : 50272
2:4	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 101	 IP Address: 42.115.143.113 : 41289
2:7	Account: bihulk02	 Name: ThÝchÙLµÙGiÕt	 Level: 88	 IP Address: 42.115.143.113 : 27652
2:8	Account: sangtpbrvt	 Name: SangTp	 Level: 102	 IP Address: 171.249.86.126 : 54896
2:12	Account: bihulk01	 Name: Ng¹oÙLµÙGiÕt	 Level: 106	 IP Address: 42.115.143.113 : 11931
2:12	Account: sangtpbrvt	 Name: SangTp	 Level: 102	 IP Address: 171.249.86.126 : 54908
2:14	Account: sangtpbrvt1	 Name: SangTp111	 Level: 91	 IP Address: 171.249.86.126 : 54914
2:25	Account: sangtpbrvt4	 Name: SangTp444	 Level: 90	 IP Address: 171.249.86.126 : 54941
2:32	Account: sangtpbrvt6	 Name: SangTp666	 Level: 91	 IP Address: 171.249.86.126 : 54982
2:34	Account: sangtpbrvt2	 Name: SangTp222	 Level: 91	 IP Address: 171.249.86.126 : 54987
2:40	Account: sangtpbrvt6	 Name: SangTp666	 Level: 91	 IP Address: 171.249.86.126 : 54997
