0:1	Account: xebmt004	 Name: XeÙN­ícÙMÝa3	 Level: 92	 IP Address: 27.79.43.143 : 53348
0:46	Account: huy102	 Name: Phoiep	 Level: 80	 IP Address: 171.232.181.167 : 50211
0:46	Account: xebmt3	 Name: rfrfrrr	 Level: 80	 IP Address: 27.79.43.143 : 53418
0:46	Account: xebmt3	 Name: eeeeeeerr	 Level: 80	 IP Address: 27.79.43.143 : 53420
0:46	Account: huy103	 Name: Bosssssssss	 Level: 80	 IP Address: 171.232.181.167 : 50215
0:46	Account: nonhandophoi	 Name: DayChuyenNgocBoi	 Level: 80	 IP Address: 113.165.166.236 : 3184
0:47	Account: xebmt2	 Name: santhoi	 Level: 80	 IP Address: 27.79.43.143 : 53422
0:47	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 92	 IP Address: 117.4.153.2 : 50251
0:47	Account: xebmt2	 Name: r2g2r2ggg	 Level: 80	 IP Address: 27.79.43.143 : 53424
0:47	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 91	 IP Address: 117.4.153.2 : 50254
0:47	Account: huy103	 Name: Bosssssssss	 Level: 80	 IP Address: 171.232.181.167 : 50219
0:47	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 101	 IP Address: 117.4.153.2 : 50256
0:50	Account: nonhandophoi	 Name: DayChuyenNgocBoi	 Level: 80	 IP Address: 113.161.186.65 : 3207
0:51	Account: sarin1	 Name: DocXinh9	 Level: 80	 IP Address: 116.110.119.64 : 36981
0:53	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 92	 IP Address: 117.4.153.2 : 50268
0:56	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 117.4.153.2 : 50273
0:57	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 117.4.153.2 : 50275
0:57	Account: huy1713	 Name: Machine3	 Level: 85	 IP Address: 171.232.181.167 : 50253
1:0	Account: xebmt003	 Name: XeÙN­ícÙMÝa2a	 Level: 92	 IP Address: 27.79.43.143 : 53445
1:2	Account: longyen013	 Name: DMÙCñaÙLong	 Level: 90	 IP Address: 14.187.167.3 : 49791
1:2	Account: huy1714	 Name: B¨ngÙThÇn	 Level: 83	 IP Address: 171.232.181.167 : 50273
1:3	Account: sarin1	 Name: DocXinh9	 Level: 80	 IP Address: 116.110.119.64 : 51465
