6:22	Account: vunguyen1988	 Name: 111111111	 Level: 85	 IP Address: 27.75.46.206 : 49218
6:23	Account: sangtpbrvt1	 Name: SangTp111	 Level: 95	 IP Address: 14.164.182.254 : 56139
6:24	Account: sangtpbrvt2	 Name: SangTp222	 Level: 93	 IP Address: 14.164.182.254 : 56142
6:24	Account: sangtpbrvt5	 Name: SangTp555	 Level: 86	 IP Address: 14.164.182.254 : 56144
6:25	Account: sangtpbrvt10	 Name: money111	 Level: 81	 IP Address: 14.164.182.254 : 56146
6:25	Account: sangtpbrvt11	 Name: money2	 Level: 81	 IP Address: 14.164.182.254 : 56148
6:26	Account: sangtpbrvt12	 Name: money3	 Level: 81	 IP Address: 14.164.182.254 : 56150
6:44	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 53110
6:48	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 50884
6:48	Account: minhtrand6	 Name: BĞÙMóp	 Level: 101	 IP Address: 14.174.119.34 : 50887
6:48	Account: minhtrand4	 Name: SÊmÙSĞtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 50885
6:48	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 50888
6:48	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 50886
6:50	Account: luukt51	 Name: NgoaLongTN	 Level: 93	 IP Address: 123.25.218.214 : 58925
6:50	Account: luukt53	 Name: NgoalongVD	 Level: 118	 IP Address: 123.25.218.214 : 58928
6:51	Account: luukt54	 Name: NgoalongNM	 Level: 95	 IP Address: 123.25.218.214 : 58934
6:52	Account: luukt52	 Name: NgoalongTN	 Level: 93	 IP Address: 123.25.218.214 : 58943
6:52	Account: luukt55	 Name: NgoalongCB	 Level: 96	 IP Address: 123.25.218.214 : 58952
6:52	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 50891
6:52	Account: minhtrand4	 Name: SÊmÙSĞtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 50893
6:54	Account: luukt52	 Name: NgoalongTN	 Level: 93	 IP Address: 123.25.218.214 : 58977
6:55	Account: luukt51	 Name: NgoaLongTN	 Level: 93	 IP Address: 123.25.218.214 : 58984
6:55	Account: luukt53	 Name: NgoalongVD	 Level: 118	 IP Address: 123.25.218.214 : 58989
6:56	Account: luukt54	 Name: NgoalongNM	 Level: 95	 IP Address: 123.25.218.214 : 58998
6:57	Account: luukt55	 Name: NgoalongCB	 Level: 96	 IP Address: 123.25.218.214 : 59004
7:6	Account: luukt56	 Name: NgoalongND	 Level: 95	 IP Address: 123.25.218.214 : 59093
7:21	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 50904
7:21	Account: minhtrand4	 Name: SÊmÙSĞtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 50907
7:21	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 50909
7:21	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 50910
7:21	Account: minhtrand6	 Name: BĞÙMóp	 Level: 101	 IP Address: 14.174.119.34 : 50911
7:22	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 50913
7:22	Account: minhtrand6	 Name: BĞÙMóp	 Level: 101	 IP Address: 14.174.119.34 : 50915
7:22	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 50917
7:22	Account: minhtrand4	 Name: SÊmÙSĞtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 50919
7:22	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 50921
7:24	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 50923
