1:43	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 88	 IP Address: 1.52.253.89 : 55509
1:44	Account: asdzxcdsa	 Name: ThÈmÙV¹nÙTamÙ	 Level: 91	 IP Address: 171.252.21.117 : 55281
1:44	Account: nonhancl	 Name: XÝchLuyÖnÙTiªnTö	 Level: 90	 IP Address: 1.52.253.89 : 55511
1:45	Account: sangtpbrvt1	 Name: SangTp111	 Level: 87	 IP Address: 171.249.86.126 : 51694
1:47	Account: asdzxcdsa	 Name: ThÈmÙV¹nÙTamÙ	 Level: 91	 IP Address: 171.252.21.117 : 55385
1:47	Account: dm0001	 Name: dm0001	 Level: 82	 IP Address: 14.168.28.44 : 50700
1:47	Account: sangtpbrvt2	 Name: SangTp222	 Level: 88	 IP Address: 171.249.86.126 : 51708
1:47	Account: nonhannd	 Name: MécÙUyÓnÙThanh	 Level: 81	 IP Address: 1.52.253.89 : 55595
1:48	Account: sangtpbrvt4	 Name: SangTp444	 Level: 88	 IP Address: 171.249.86.126 : 51712
1:50	Account: sangtpbrvt6	 Name: SangTp666	 Level: 87	 IP Address: 171.249.86.126 : 51719
1:58	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 81	 IP Address: 42.119.136.199 : 49765
1:59	Account: sangtpbrvt3	 Name: SangTp333	 Level: 88	 IP Address: 171.249.86.126 : 51748
1:59	Account: dm0010	 Name: CL0001	 Level: 82	 IP Address: 14.168.28.44 : 50755
2:8	Account: nd0001	 Name: nd0001	 Level: 82	 IP Address: 14.168.28.44 : 50806
2:18	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 81	 IP Address: 42.119.136.199 : 50199
2:37	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 81	 IP Address: 42.119.136.199 : 50218
2:38	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 50220
2:43	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 50370
2:49	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 50374
2:53	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 81	 IP Address: 42.119.136.199 : 50376
2:55	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 50378
2:55	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 81	 IP Address: 42.119.136.199 : 50380
2:55	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 81	 IP Address: 42.119.136.199 : 50382
2:56	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 81	 IP Address: 42.119.136.199 : 50384
3:7	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 49707
3:8	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 81	 IP Address: 42.119.136.199 : 49710
3:11	Account: nd0001	 Name: nd0001	 Level: 82	 IP Address: 14.168.28.44 : 51077
3:12	Account: dm0001	 Name: dm0001	 Level: 82	 IP Address: 14.168.28.44 : 51081
3:13	Account: asdzxcdsa	 Name: ThÈmÙV¹nÙTamÙ	 Level: 91	 IP Address: 171.252.21.117 : 57468
3:15	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 81	 IP Address: 42.119.136.199 : 49721
3:19	Account: mapdl1	 Name: §¹tÙMa	 Level: 87	 IP Address: 14.168.28.44 : 51114
3:19	Account: mapdl2	 Name: TiªnÙTö	 Level: 86	 IP Address: 14.168.28.44 : 51118
3:20	Account: mapdl3	 Name: ThiªnÙNhÉn	 Level: 90	 IP Address: 14.168.28.44 : 51122
3:21	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 49701
3:21	Account: mapdl4	 Name: §åÙThÇnÙS¸tÙQuû	 Level: 104	 IP Address: 14.168.28.44 : 51132
3:22	Account: dm0010	 Name: CL0001	 Level: 83	 IP Address: 14.168.28.44 : 51138
3:27	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 81	 IP Address: 42.119.136.199 : 49711
3:32	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 81	 IP Address: 42.119.136.199 : 49720
3:40	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 49704
3:44	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 49704
3:49	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 81	 IP Address: 42.119.136.199 : 49713
3:50	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 81	 IP Address: 42.119.136.199 : 49717
4:22	Account: kaiba1	 Name: ÙAÙTònÙ	 Level: 97	 IP Address: 171.254.129.23 : 11577
4:22	Account: kaiba2	 Name: LuisLeoC©yMÝt	 Level: 87	 IP Address: 171.254.129.23 : 16622
4:22	Account: kaiba2	 Name: Achiasn	 Level: 81	 IP Address: 171.254.129.23 : 13751
4:23	Account: kaiba3	 Name: Vabsdw	 Level: 81	 IP Address: 171.254.129.23 : 25627
4:27	Account: kaiba4	 Name: asdacasd	 Level: 81	 IP Address: 171.254.129.23 : 23869
4:29	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 90	 IP Address: 113.176.244.142 : 52658
4:31	Account: kaiba4	 Name: ÙÙCµnÙÙ	 Level: 80	 IP Address: 171.254.129.23 : 18727
4:37	Account: kaiba4	 Name: asdacasd	 Level: 81	 IP Address: 171.254.129.23 : 24608
5:21	Account: kaiba2	 Name: LuisLeoC©yMÝt	 Level: 87	 IP Address: 171.254.129.23 : 36609
5:22	Account: kaiba4	 Name: ÙÙCµnÙÙ	 Level: 80	 IP Address: 171.254.129.23 : 17274
5:23	Account: kaiba4	 Name: asdacasd	 Level: 81	 IP Address: 171.254.129.23 : 36233
5:23	Account: kaiba2	 Name: LuisLeoC©yMÝt	 Level: 87	 IP Address: 171.254.129.23 : 7192
