1:32	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 51242
1:32	Account: sangtpbrvt	 Name: SangTp	 Level: 113	 IP Address: 113.184.175.82 : 50637
1:32	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 92	 IP Address: 42.116.138.135 : 64642
1:32	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 116.110.119.64 : 51248
1:33	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 51257
1:33	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 57631
1:37	Account: sangtpbrvt5	 Name: SangTp555	 Level: 87	 IP Address: 113.184.175.82 : 50760
1:37	Account: phamtungdhv4	 Name: ZzJindozZ	 Level: 90	 IP Address: 42.116.138.135 : 64677
1:42	Account: vunguyen1987	 Name: 444444444	 Level: 80	 IP Address: 27.75.46.206 : 56566
1:44	Account: phamtungdhv5	 Name: ZzThaiSonzZ	 Level: 91	 IP Address: 42.116.138.135 : 64701
1:44	Account: sangtpbrvt	 Name: SangTp	 Level: 113	 IP Address: 113.184.175.82 : 50799
1:44	Account: phamtungdhv2	 Name: ZzNgocCuxizZ	 Level: 90	 IP Address: 42.116.138.135 : 64706
1:44	Account: phamtungdhv3	 Name: ZzNhimXinhzZ	 Level: 94	 IP Address: 42.116.138.135 : 64711
1:45	Account: vunguyen1986	 Name: 5555555	 Level: 82	 IP Address: 27.75.46.206 : 56569
1:45	Account: vunguyen1986	 Name: ThienNhan	 Level: 80	 IP Address: 27.75.46.206 : 56571
1:46	Account: vunguyen1985	 Name: binbin2	 Level: 81	 IP Address: 27.75.46.206 : 56573
1:46	Account: vunguyen1985	 Name: binbin3	 Level: 81	 IP Address: 27.75.46.206 : 56575
1:46	Account: vunguyen1985	 Name: BinBin1	 Level: 80	 IP Address: 27.75.46.206 : 56577
1:46	Account: vunguyen1987	 Name: 3333333333	 Level: 80	 IP Address: 27.75.46.206 : 56579
1:46	Account: vunguyen1987	 Name: 22222222	 Level: 84	 IP Address: 27.75.46.206 : 56646
1:46	Account: vunguyen1987	 Name: 444444444	 Level: 80	 IP Address: 27.75.46.206 : 56648
1:47	Account: vunguyen1986	 Name: 5555555	 Level: 82	 IP Address: 27.75.46.206 : 56714
1:47	Account: vunguyen1986	 Name: 666666666	 Level: 82	 IP Address: 27.75.46.206 : 56780
1:47	Account: vunguyen1983	 Name: Cubin1	 Level: 80	 IP Address: 27.75.46.206 : 56782
1:48	Account: vunguyen1983	 Name: MrCuBin	 Level: 81	 IP Address: 27.75.46.206 : 56846
1:50	Account: longyen010	 Name: BXÙLong	 Level: 101	 IP Address: 14.187.167.3 : 49203
2:0	Account: colobache195	 Name: DocCoPhong	 Level: 84	 IP Address: 117.5.236.180 : 18605
2:12	Account: longyen018	 Name: TNÙVip	 Level: 87	 IP Address: 14.187.167.3 : 49237
2:14	Account: longyen011	 Name: MrÙLong	 Level: 94	 IP Address: 14.187.167.3 : 49243
2:20	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 92	 IP Address: 42.116.138.135 : 64886
2:21	Account: phamtungdhv1	 Name: ZzTungpszZ	 Level: 92	 IP Address: 42.116.138.135 : 64890
3:55	Account: ribi01	 Name: RiBi01	 Level: 109	 IP Address: 14.167.83.83 : 1097
4:2	Account: ribi02	 Name: RIBI02	 Level: 101	 IP Address: 14.167.83.83 : 1146
4:3	Account: ribi05	 Name: buffffff	 Level: 80	 IP Address: 14.167.83.83 : 1154
