1:28	Account: phamtungdhv1	 Name: ZzJindozZ	 Level: 85	 IP Address: 42.118.129.73 : 57648
1:28	Account: dai221990	 Name: ChÝÙT«n	 Level: 87	 IP Address: 116.109.185.233 : 49905
1:35	Account: asdzxcdsa	 Name: V«ÙTuÙV«ÙChøng	 Level: 1	 IP Address: 171.249.236.64 : 55737
1:39	Account: xebmt1	 Name: clbuad	 Level: 80	 IP Address: 27.79.74.126 : 52499
1:40	Account: minsimon	 Name: ÙSöuÙSG	 Level: 85	 IP Address: 115.78.195.38 : 52187
1:40	Account: minsimon	 Name: ÙRinÙSG	 Level: 80	 IP Address: 115.78.195.38 : 52191
1:43	Account: asdzxcdsa	 Name: TriÓnÙ§¹iÙHiÖp	 Level: 80	 IP Address: 171.249.236.64 : 55856
1:44	Account: xebmt03	 Name: Kiemevent	 Level: 1	 IP Address: 27.79.74.126 : 52524
1:49	Account: xebmt04	 Name: kiemtien04	 Level: 1	 IP Address: 27.79.74.126 : 52552
1:53	Account: xebmt05	 Name: kiemtien05	 Level: 1	 IP Address: 27.79.74.126 : 52560
1:56	Account: xebmt06	 Name: 06ktien	 Level: 1	 IP Address: 27.79.74.126 : 52565
2:4	Account: qwqwqw	 Name: ¢uÙD­¬ngÙPhong	 Level: 82	 IP Address: 171.249.236.64 : 56825
2:5	Account: qwqwqw1	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.249.236.64 : 56834
2:5	Account: qwqwqw2	 Name: ¢uÙD­¬ngÙTrym	 Level: 80	 IP Address: 171.249.236.64 : 56841
2:7	Account: qwqwqw	 Name: ¢uÙD­¬ngÙPhong	 Level: 82	 IP Address: 171.249.236.64 : 56907
2:8	Account: qwqwqw	 Name: ¢uÙD­¬ngÙPhong	 Level: 82	 IP Address: 171.249.236.64 : 56942
2:9	Account: qwqwqw2	 Name: ¢uÙD­¬ngÙTrym	 Level: 80	 IP Address: 171.249.236.64 : 56955
2:9	Account: qwqwqw3	 Name: ¢uÙD­¬ngÙVËt	 Level: 80	 IP Address: 171.249.236.64 : 56967
2:11	Account: qwqwqw1	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.249.236.64 : 56996
2:13	Account: thien01	 Name: thuyyen01	 Level: 83	 IP Address: 58.187.169.240 : 58542
2:13	Account: imtry03	 Name: thiennhan01	 Level: 82	 IP Address: 58.187.169.240 : 34050
2:14	Account: imtry02	 Name: ÙÙRôtÙÙ	 Level: 82	 IP Address: 58.187.169.240 : 54752
2:14	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.233.93 : 50639
2:15	Account: quocbaobp	 Name: NçiÙBuånÙKoÙTªn	 Level: 98	 IP Address: 14.233.233.93 : 50641
2:27	Account: quocbaobp	 Name: NçiÙBuånÙKoÙTªn	 Level: 98	 IP Address: 14.233.233.93 : 50667
2:32	Account: imtry03	 Name: thiennhan01	 Level: 82	 IP Address: 42.117.111.205 : 51212
2:34	Account: thien01	 Name: thuyyen01	 Level: 83	 IP Address: 42.117.111.205 : 29758
2:34	Account: imtry02	 Name: ÙÙRôtÙÙ	 Level: 82	 IP Address: 42.117.111.205 : 26065
2:36	Account: ngocbich01	 Name: KhoEvent1	 Level: 1	 IP Address: 14.233.233.93 : 50682
2:37	Account: minsimon	 Name: ÙLieÙSG	 Level: 80	 IP Address: 115.78.195.38 : 52928
2:38	Account: samsimon3	 Name: LuuKhoNhe	 Level: 80	 IP Address: 115.78.195.38 : 52933
2:38	Account: samsimon3	 Name: LuuKhoNhe	 Level: 80	 IP Address: 115.78.195.38 : 52935
2:38	Account: samsimon3	 Name: GIuDoNe	 Level: 80	 IP Address: 115.78.195.38 : 52939
2:40	Account: minsimon	 Name: ÙSöuÙSG	 Level: 85	 IP Address: 115.78.195.38 : 52949
2:41	Account: minsimon	 Name: ÙRinÙSG	 Level: 80	 IP Address: 115.78.195.38 : 52955
3:8	Account: minsimon2	 Name: ÙRiuÙSG	 Level: 81	 IP Address: 115.78.195.38 : 53067
3:16	Account: bihulk01	 Name: 74ÙBiÙSHXT	 Level: 97	 IP Address: 42.115.143.113 : 10787
5:49	Account: tumap3005	 Name: SBossss	 Level: 87	 IP Address: 27.75.131.29 : 27863
5:49	Account: tumap3002	 Name: BuffLaiThoi	 Level: 92	 IP Address: 27.75.131.29 : 27872
5:49	Account: tumap3000	 Name: EmChoiLai	 Level: 97	 IP Address: 27.75.131.29 : 27875
5:49	Account: tumap3004	 Name: DamManhVao	 Level: 92	 IP Address: 27.75.131.29 : 27880
5:49	Account: tumap3001	 Name: TrauBoGapNhau	 Level: 92	 IP Address: 27.75.131.29 : 27882
6:0	Account: nam92hd2	 Name: LµmTýLècKh«ngEm	 Level: 83	 IP Address: 27.66.95.53 : 3347
6:25	Account: kingvl1	 Name: ThñyTiªnTûTû	 Level: 83	 IP Address: 118.70.41.159 : 25031
6:26	Account: kingvl2	 Name: KimLongKaKa	 Level: 92	 IP Address: 118.70.41.159 : 17989
6:27	Account: building1987	 Name: TiÒnÙV«ÙNghÜa	 Level: 96	 IP Address: 27.79.74.126 : 52961
6:41	Account: gcity02	 Name: 02ÙThiªnÙNhÉn	 Level: 96	 IP Address: 27.79.74.126 : 53006
6:42	Account: gcity03	 Name: 03ÙNgaÙMi	 Level: 85	 IP Address: 27.79.74.126 : 53008
6:44	Account: hangnitocvay	 Name: N÷ÙThÇnÙJAV	 Level: 78	 IP Address: 171.251.168.241 : 49819
6:44	Account: hangnitocvay1	 Name: ThiªnÙsøÙJAV	 Level: 77	 IP Address: 171.251.168.241 : 49821
6:45	Account: hangnitocvay2	 Name: C«ÙbÐÙJAV	 Level: 81	 IP Address: 171.251.168.241 : 49825
6:45	Account: xebmt1	 Name: XeÙN­ícÙMÝa	 Level: 79	 IP Address: 27.79.74.126 : 53020
6:46	Account: hangnitocvay3	 Name: ¤ngÙHoµngÙJAV	 Level: 81	 IP Address: 171.251.168.241 : 49828
6:46	Account: xebmt10	 Name: b1t1tt	 Level: 80	 IP Address: 27.79.74.126 : 53023
6:46	Account: xebmt10	 Name: frf22f2r	 Level: 80	 IP Address: 27.79.74.126 : 53025
6:48	Account: xebmt001	 Name: EventÙ	 Level: 1	 IP Address: 27.79.74.126 : 53035
6:52	Account: xebmt10	 Name: frf22f2r	 Level: 80	 IP Address: 27.79.74.126 : 53045
6:53	Account: xebmt7	 Name: buffbuathoi	 Level: 80	 IP Address: 27.79.74.126 : 53052
6:54	Account: xebmt9	 Name: f22rr5r	 Level: 80	 IP Address: 27.79.74.126 : 53060
6:55	Account: xebmt10	 Name: frf22f2r	 Level: 80	 IP Address: 27.79.74.126 : 53064
6:55	Account: xebmt10	 Name: b1t1tt	 Level: 80	 IP Address: 27.79.74.126 : 53066
6:56	Account: xebmt10	 Name: frf22f2r	 Level: 80	 IP Address: 27.79.74.126 : 53068
6:58	Account: xebmt8	 Name: ff1f1f1f	 Level: 80	 IP Address: 27.79.74.126 : 53072
6:58	Account: xebmt8	 Name: kdkdk®	 Level: 80	 IP Address: 27.79.74.126 : 53074
6:58	Account: xebmt9	 Name: f22rr5r	 Level: 80	 IP Address: 27.79.74.126 : 53076
6:58	Account: xebmt9	 Name: frf2r2fr	 Level: 80	 IP Address: 27.79.74.126 : 53078
6:58	Account: xebmt9	 Name: grg2r2gr	 Level: 80	 IP Address: 27.79.74.126 : 53080
